Date,Time,Open,High,Low,Close
2020-05-11,12:14:00,19295.205,19316.25,19298.45,19306.15
2020-05-11,13:14:00,19319.295,19364.25,19339.2,19343.5
2020-05-11,14:14:00,19091.01,19100.45,19084.65,19088.6
2020-05-11,15:14:00,18962.515000000003,18971.75,18949.5,18971.35
2020-05-12,09:07:00,18593.925,18751.4,18751.4,18751.4
2020-05-12,10:14:00,18432.055,18440.05,18404.05,18423.4
2020-05-12,11:14:00,18401.855,18422.1,18402.9,18410.45
2020-05-12,12:14:00,18361.02,18399.3,18372.6,18396.7
2020-05-12,13:14:00,18475.920000000002,18465.4,18448.85,18465.4
2020-05-12,14:14:00,18626.025,18504.85,18476.05,18491.25
2020-05-12,15:14:00,18838.52,18781.65,18763.05,18765.05
2020-05-13,09:07:00,19928.894999999997,20017.75,20017.75,20017.75
2020-05-13,10:14:00,19674.920000000002,19689.6,19657.8,19681.2
2020-05-13,11:14:00,19774.814999999995,19784.3,19776.95,19782.2
2020-05-13,12:14:00,19709.365,19741.3,19722.7,19739.65
2020-05-13,13:14:00,19506.065,19514.25,19496.75,19504.6
2020-05-13,14:14:00,19651.855000000003,19650.25,19626.95,19644.0
2020-05-13,15:14:00,19634.865,19633.15,19624.45,19630.15
2020-05-14,09:07:00,19195.65,19197.7,19197.7,19197.7
2020-05-14,10:14:00,19248.895,19255.5,19237.65,19243.0
2020-05-14,11:14:00,19183.58,19186.4,19177.15,19184.75
2020-05-14,12:14:00,19217.28,19235.05,19224.75,19231.65
2020-05-14,13:14:00,19272.920000000002,19326.6,19309.25,19309.25
2020-05-14,14:14:00,19103.799999999996,19105.6,19068.8,19100.0
2020-05-14,15:14:00,19052.094999999998,19058.05,19050.65,19051.25
2020-05-15,09:07:00,18915.93,19098.8,19098.8,19098.8
2020-05-15,10:14:00,18782.065,18781.9,18768.7,18779.0
2020-05-15,11:14:00,18732.375,18744.95,18730.6,18741.0
2020-05-15,12:14:00,18758.245,18736.45,18731.4,18733.65
2020-05-15,13:14:00,18746.325000000004,18774.7,18765.8,18768.45
2020-05-15,14:14:00,18882.22,18883.5,18843.65,18867.65
2020-05-15,15:14:00,18826.04,18843.75,18831.15,18831.3
2020-05-18,09:07:00,18544.225,18795.1,18795.1,18795.1
2020-05-18,10:14:00,17891.530000000002,17962.6,17911.95,17914.5
2020-05-18,11:14:00,17619.985,17657.2,17637.85,17650.45
2020-05-18,12:14:00,17646.86,17638.85,17615.85,17637.0
2020-05-18,13:14:00,17679.835,17704.7,17686.85,17702.95
2020-05-18,14:14:00,17729.665,17778.25,17762.15,17762.15
2020-05-18,15:14:00,17559.605,17573.1,17546.6,17572.65
2020-05-19,09:07:00,17901.58,18037.15,18037.15,18037.15
2020-05-19,10:14:00,17960.32,17903.1,17883.6,17891.55
2020-05-19,11:14:00,17955.4,17976.55,17948.25,17967.1
2020-05-19,12:14:00,17969.010000000002,17973.9,17951.0,17972.75
2020-05-19,13:14:00,17759.04,17758.0,17743.15,17751.1
2020-05-19,14:14:00,17505.655000000002,17467.2,17429.65,17439.3
2020-05-19,15:14:00,17501.36,17496.35,17481.3,17487.55
2020-05-20,09:07:00,17621.655,17486.5,17486.5,17486.5
2020-05-20,10:14:00,17549.89,17618.0,17605.15,17613.8
2020-05-20,11:14:00,17508.94,17472.0,17460.15,17460.55
2020-05-20,12:14:00,17562.155,17564.15,17554.6,17564.15
2020-05-20,13:14:00,17518.405,17544.4,17533.0,17542.1
2020-05-20,14:14:00,17706.135000000002,17685.55,17661.1,17682.95
2020-05-20,15:14:00,17848.505,17814.85,17800.95,17813.15
2020-05-21,09:07:00,17991.57,17901.95,17901.95,17901.95
2020-05-21,10:14:00,18111.635,18099.1,18078.05,18091.7
2020-05-21,11:14:00,18103.965,18112.75,18101.45,18103.1
2020-05-21,12:14:00,18076.305,18076.9,18062.35,18072.25
2020-05-21,13:14:00,18125.495,18137.5,18102.5,18137.5
2020-05-21,14:14:00,17865.075,17953.55,17927.4,17930.35
2020-05-21,15:14:00,17735.44,17752.85,17739.6,17742.75
2020-05-22,09:07:00,17555.475,17554.25,17554.25,17554.25
2020-05-22,10:14:00,17614.734999999997,17629.2,17579.15,17603.95
2020-05-22,11:14:00,17267.425,17235.4,17205.8,17221.7
2020-05-22,12:14:00,17270.43,17248.45,17226.3,17242.15
2020-05-22,13:14:00,17188.585000000003,17206.55,17178.3,17202.8
2020-05-22,14:14:00,17290.784999999996,17306.4,17273.45,17306.4
2020-05-22,15:14:00,17299.335000000003,17266.6,17251.25,17252.35
2020-05-26,09:07:00,17599.02,17537.65,17537.65,17537.65
2020-05-26,10:14:00,17573.670000000002,17564.2,17547.6,17561.1
2020-05-26,11:14:00,17530.239999999998,17547.8,17534.0,17539.0
2020-05-26,12:14:00,17591.465,17615.75,17601.85,17602.35
2020-05-26,13:14:00,17488.234999999997,17546.15,17520.3,17523.3
2020-05-26,14:14:00,17359.450000000004,17381.75,17366.0,17377.3
2020-05-26,15:14:00,17442.295000000002,17422.85,17414.2,17421.65
